"departamento","municipio","codigo_dane","armas_medios","fecha_hecho","genero","grupo_etario","tipo_de_hurto","cantidad"
"MAGDALENA","Ciénaga","47189000","NO REPORTADO","04/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"META","Villavicencio (CT)","50001000","NO REPORTADO","24/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"NORTE DE SANTANDER","Cúcuta (CT)","54001000","NO REPORTADO","22/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ATLÁNTICO","Soledad","08758000","NO REPORTADO","17/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","15/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Chigorodó","05172000","NO REPORTADO","11/04/2015","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","San Pedro","05664000","NO REPORTADO","28/04/2015","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"NORTE DE SANTANDER","Cúcuta (CT)","54001000","NO REPORTADO","01/05/2015","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"NARIÑO","Puerres","52573000","NO REPORTADO","07/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","19/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"CUNDINAMARCA","Villeta","25875000","NO REPORTADO","13/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"NORTE DE SANTANDER","Cúcuta (CT)","54001000","NO REPORTADO","14/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Caucasia","05154000","NO REPORTADO","23/02/2015","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Caucasia","05154000","NO REPORTADO","15/02/2015","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ATLÁNTICO","Soledad","08758000","NO REPORTADO","02/06/2015","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"META","Villavicencio (CT)","50001000","NO REPORTADO","16/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"CALDAS","Chinchiná","17174000","NO REPORTADO","21/04/2014","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ATLÁNTICO","Barranquilla (CT)","08001000","NO REPORTADO","15/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","07/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Giraldo","05306000","NO REPORTADO","21/04/2015","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","01/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"ATLÁNTICO","Malambo","08433000","NO REPORTADO","02/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"ATLÁNTICO","Barranquilla (CT)","08001000","NO REPORTADO","22/04/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","10/04/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"META","Villavicencio (CT)","50001000","NO REPORTADO","15/02/2015","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"CHOCÓ","Quibdó (CT)","27001000","NO REPORTADO","21/04/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"HUILA","Neiva (CT)","41001000","NO REPORTADO","26/04/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
