fecha_hecho,cod_depto,departamento,cod_muni,municipio,zona,sexo,arma_medio,_modalidad_presunta,spoa_caracterizacion,cantidad,fecha,tipo
2003-01-02T00:00:00.000,47,MAGDALENA,47058,ARIGUANI,URBANA,MASCULINO,ARMA DE FUEGO,AGRESION,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,47,MAGDALENA,47980,ZONA BANANERA,RURAL,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,AGRESION,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,50,META,50001,VILLAVICENCIO,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,52,NARIÑO,52320,GUAITARILLA,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,52,NARIÑO,52835,SAN ANDRES DE TUMACO,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,52,NARIÑO,52838,TUQUERRES,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,54,NORTE DE SANTANDER,54001,CUCUTA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,54,NORTE DE SANTANDER,54261,EL ZULIA,RURAL,MASCULINO,ARMA DE FUEGO,SICARIATO,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,54,NORTE DE SANTANDER,54810,TIBU,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,86,PUTUMAYO,86757,SAN MIGUEL,URBANA,FEMENINO,ARMA DE FUEGO,ATACADOS POR AUTODEFENSAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,86,PUTUMAYO,86757,SAN MIGUEL,URBANA,MASCULINO,ARMA DE FUEGO,ATACADOS POR AUTODEFENSAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,66,RISARALDA,66682,SANTA ROSA DE CABAL,URBANA,FEMENINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,70,SUCRE,70204,COLOSO,URBANA,FEMENINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,70,SUCRE,70001,SINCELEJO,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,73,TOLIMA,73347,HERVEO,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
