departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,cantidad,delito,fecha,tipo
SANTANDER,Floridablanca,68276000,NO REPORTADO,10/03/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-10-03,denuncia
CAQUETÁ,Puerto Rico,18592000,NO REPORTADO,09/02/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-09-02,denuncia
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,10/03/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-10-03,denuncia
CASANARE,Yopal (CT),85001000,NO REPORTADO,05/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-05-02,denuncia
CALDAS,La Dorada,17380000,NO REPORTADO,08/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-08-02,denuncia
HUILA,Garzón,41298000,NO REPORTADO,01/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-01,denuncia
CUNDINAMARCA,Villapinzón,25873000,NO REPORTADO,02/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,2010-02-01,denuncia
ATLÁNTICO,Barranquilla (CT),8001000,NO REPORTADO,03/03/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-03-03,denuncia
ANTIOQUIA,Caldas,5129000,NO REPORTADO,09/03/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACTO SEXUAL VIOLENTO (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-09-03,denuncia
CALDAS,Villamaría,17873000,NO REPORTADO,02/06/2010,MASCULINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),2010-02-06,denuncia
SANTANDER,San Gil,68679000,NO REPORTADO,11/05/2010,FEMENINO,MENORES,1,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,2010-11-05,denuncia
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,05/06/2010,FEMENINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,2010-05-06,denuncia
SANTANDER,Bucaramanga (CT),68001000,NO REPORTADO,12/03/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-12-03,denuncia
VALLE,Guadalajara de Buga,76111000,NO REPORTADO,03/05/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-03-05,denuncia
CALDAS,La Dorada,17380000,NO REPORTADO,01/04/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-04,denuncia
