departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad,fecha,tipo
ANTIOQUIA,Chigorodó,5172000,NO REPORTADO,11/04/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-11-04,hurto
NORTE DE SANTANDER,Cúcuta (CT),54001000,NO REPORTADO,01/05/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-01-05,hurto
NARIÑO,Puerres,52573000,NO REPORTADO,07/03/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-07-03,hurto
ATLÁNTICO,Soledad,8758000,NO REPORTADO,02/06/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-02-06,hurto
BOGOTA,Bogotá D.C. (CT),11001000,NO REPORTADO,07/05/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-07-05,hurto
BOGOTA,Bogotá D.C. (CT),11001000,NO REPORTADO,01/05/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2014-01-05,hurto
ATLÁNTICO,Malambo,8433000,NO REPORTADO,02/05/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2014-02-05,hurto
BOGOTA,Bogotá D.C. (CT),11001000,NO REPORTADO,10/04/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2014-10-04,hurto
ATLÁNTICO,Sabanalarga,8638000,NO REPORTADO,05/05/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-05-05,hurto
CAUCA,Rosas,19622000,NO REPORTADO,08/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-08-11,hurto
RISARALDA,Santuario,66687000,NO REPORTADO,02/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-02-11,hurto
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,12/08/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2014-12-08,hurto
BOLÍVAR,Cartagena (CT),13001000,NO REPORTADO,04/08/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-04-08,hurto
ANTIOQUIA,Rionegro,5615000,NO REPORTADO,08/02/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-08-02,hurto
CAUCA,Totoró,19824000,NO REPORTADO,07/11/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2014-07-11,hurto
CAUCA,Puerto Tejada,19573000,NO REPORTADO,01/11/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-01-11,hurto
GUAJIRA,Maicao,44430000,NO REPORTADO,03/10/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-03-10,hurto
CUNDINAMARCA,Facatativá,25269000,NO REPORTADO,08/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-08-11,hurto
BOLÍVAR,Cartagena (CT),13001000,NO REPORTADO,09/11/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-09-11,hurto
META,Villavicencio (CT),50001000,NO REPORTADO,01/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-01-11,hurto
CUNDINAMARCA,Facatativá,25269000,NO REPORTADO,02/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2014-02-11,hurto
