departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad,FECHA,ANO,MES
META,VILLAVICENCIO,50001000,ARMA BLANCA / CORTOPUNZANTE,13/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-13,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,14/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-14,2024,3
CAUCA,POPAYÁN,19001000,ARMA BLANCA / CORTOPUNZANTE,14/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,2,2024-03-14,2024,3
HUILA,NEIVA,41001000,ARMA BLANCA / CORTOPUNZANTE,14/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2024-03-14,2024,3
PUTUMAYO,PUERTO ASÍS,86568000,ARMA BLANCA / CORTOPUNZANTE,14/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-14,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,15/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-15,2024,3
TOLIMA,IBAGUÉ,73001000,ARMA BLANCA / CORTOPUNZANTE,15/03/2024,MASCULINO,ADOLESCENTES,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-15,2024,3
HUILA,CAMPOALEGRE,41132000,ARMA BLANCA / CORTOPUNZANTE,16/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-16,2024,3
VALLE,FLORIDA,76275000,ARMA BLANCA / CORTOPUNZANTE,16/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-16,2024,3
ANTIOQUIA,MEDELLÍN,05001000,NO REPORTADO,17/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-17,2024,3
ANTIOQUIA,PEÑOL,05541000,ARMA BLANCA / CORTOPUNZANTE,17/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-17,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,17/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,3,2024-03-17,2024,3
NARIÑO,IPIALES,52356000,ARMA BLANCA / CORTOPUNZANTE,17/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-17,2024,3
ANTIOQUIA,BELLO,05088000,ARMA BLANCA / CORTOPUNZANTE,18/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2024-03-18,2024,3
CAUCA,INZÁ,19355000,ARMA BLANCA / CORTOPUNZANTE,18/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-18,2024,3
MAGDALENA,SANTA MARTA,47001000,NO REPORTADO,18/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-18,2024,3
NARIÑO,PASTO,52001000,ARMA BLANCA / CORTOPUNZANTE,18/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-18,2024,3
VALLE,YUMBO,76892000,ARMA BLANCA / CORTOPUNZANTE,18/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-18,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,19/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-19,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,19/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2024-03-19,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,20/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,2,2024-03-20,2024,3
BOLÍVAR,TURBACO,13836000,ARMA BLANCA / CORTOPUNZANTE,20/03/2024,MASCULINO,ADOLESCENTES,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-20,2024,3
NARIÑO,GUACHUCAL,52317000,ARMA BLANCA / CORTOPUNZANTE,20/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2024-03-20,2024,3
VALLE,PALMIRA,76520000,ARMA BLANCA / CORTOPUNZANTE,20/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-20,2024,3
ANTIOQUIA,MEDELLÍN,05001000,ARMA BLANCA / CORTOPUNZANTE,21/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2024-03-21,2024,3
HUILA,GARZÓN,41298000,ARMA BLANCA / CORTOPUNZANTE,21/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,2,2024-03-21,2024,3
CAUCA,POPAYÁN,19001000,ARMA BLANCA / CORTOPUNZANTE,22/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-22,2024,3
CAUCA,POPAYÁN,19001000,ARMA BLANCA / CORTOPUNZANTE,22/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,2,2024-03-22,2024,3
CUNDINAMARCA,SOACHA,25754000,ARMA BLANCA / CORTOPUNZANTE,22/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-22,2024,3
HUILA,PITALITO,41551000,ARMA BLANCA / CORTOPUNZANTE,22/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-22,2024,3
META,VILLAVICENCIO,50001000,ARMA BLANCA / CORTOPUNZANTE,22/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-22,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,NO REPORTADO,23/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,3,2024-03-23,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,23/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2024-03-23,2024,3
CESAR,AGUACHICA,20011000,ARMA BLANCA / CORTOPUNZANTE,23/03/2024,MASCULINO,ADOLESCENTES,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-23,2024,3
